P(=O)(O)(O)OP(=O)(O)O.O([H])[H]	R00004	P(=O)(O)(O)O
O([H])[H].O(P(O)(=O)O)C(=C)C(=O)O	R00208	P(=O)(O)(O)O.CC(=O)C(=O)O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.CC(=O)C(=O)O	R00210	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(=O)=O.CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
O=O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.CC(=O)C(=O)O	R00211	OO.C(=O)=O.CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
C([H])(=O)O.CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O	R00212	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.CC(=O)C(=O)O
O([H])[H].[C@@H](N)(C(=O)O)COC(=O)N	R00213	N([H])([H])[H].C(=O)=O.CC(=O)C(=O)O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.[C@@H](O)(C(=O)O)CC(=O)O	R00214	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C(=O)=O.CC(=O)C(=O)O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.[C@H](O)(C(=O)O)CC(=O)O	R00215	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C(=O)=O.CC(=O)C(=O)O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@@H](O)(C(=O)O)CC(=O)O	R00216	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(=O)=O.CC(=O)C(=O)O
O([H])[H].C(=O)(O)C#CC(=O)O	R00218	C(=O)=O.CC(=O)C(=O)O
C(=O)=O.CC(=O)C(=O)O	R00219	C(/O)(\C(=O)O)=C/C(=O)O
[C@H](N)(CO)C(=O)O	R00220	N([H])([H])[H].CC(=O)C(=O)O
[C@@H](N)(CO)C(=O)O	R00221	N([H])([H])[H].CC(=O)C(=O)O
C(N)(CO)C(=O)O	R00223	N([H])([H])[H].CC(=O)C(=O)O
CC(=O)C(=O)O	R00224	CC=O.C(=O)=O
O([H])[H].CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O	R00227	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.C(=O)(O)C
CC=O.[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O	R00228	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.C(=O)(O)C	R00229	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
P(=O)(O)(O)O.CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O	R00230	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.P(=O)(O)(O)OC(=O)C
C(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O	R00233	C(=O)=O.CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.C(=O)(O)C	R00235	P(=O)(O)(O)OP(=O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OC(=O)C)O1)O	R00236	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
C([C@@](O)(C)C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O	R00237	CC(=O)C(=O)O.CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.[C@@H](N)(C(=O)O)CCC(=O)O	R00239	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.P(O)(O)(=O)OC(=O)CC[C@H](N)C(=O)O
O([H])[H].[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.[C@@H](N)(C(=O)O)CCC(=O)O	R00243	[H+].N([H])([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C(=O)(C(=O)O)CCC(O)=O
O([H])[H].[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.OC(=O)[C@@H](N)CCC=O	R00245	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.[C@@H](N)(C(=O)O)CCC(=O)O
O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@@H](N)(C(=O)O)CCC(=O)O	R00248	[H+].N([H])([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(=O)(C(=O)O)CCC(O)=O
O([H])[H].O=O.[C@@H](N)(C(=O)O)CCC(=O)O	R00250	OO.N([H])([H])[H].C(=O)(C(=O)O)CCC(O)=O
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.C1(=O)N[C@H](C(=O)O)CC1	R00251	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.[C@@H](N)(C(=O)O)CCC(=O)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.N([H])([H])[H].[C@@H](N)(C(=O)O)CCC(=O)O	R00253	P(=O)(O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.[C@@H](N)(C(=O)O)CCC(=O)N
N([H])([H])[H].C(=O)=O.[C@@H](N)(C(=O)O)CCC(=O)O	R00254	O([H])[H].OC(=O)CC[C@H](NC(=O)N)C(=O)O
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.[C@@H](N)(C(=O)O)CCC(=O)N.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H]([N+]3=CC=CC(C(=O)O)=C3)O2)O)O1)O	R00257	P(=O)(O)(O)OP(=O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.[C@@H](N)(C(=O)O)CCC(=O)O
C(=O)(C(=O)O)CCC(O)=O.OC(=O)[C@@H](N)C	R00258	CC(=O)C(=O)O.[C@@H](N)(C(=O)O)CCC(=O)O
CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O.[C@@H](N)(C(=O)O)CCC(=O)O	R00259	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.OC(=O)CC[C@H](NC(=O)C)C(=O)O
[C@@H](N)(C(=O)O)CCC(=O)O	R00260	[C@H](N)(C(=O)O)CCC(=O)O
[C@@H](N)(C(=O)O)CCC(=O)O	R00261	C(=O)=O.C(CCN)C(=O)O
[C@@H](C)(C(O)=O)[C@H](N)C(=O)O	R00262	[C@@H](N)(C(=O)O)CCC(=O)O
O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(=O)(CCC=O)C(=O)O	R00264	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(=O)(C(=O)O)CCC(O)=O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.C(=O)(C(=O)O)CCC(O)=O	R00265	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(=O)=O.C(CC(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(C(=O)O)(CC(=O)O)C(O)C(=O)O	R00267	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C(=O)=O.C(=O)(C(=O)O)CCC(O)=O
O=C(O)CC(C(O)=O)C(=O)C(=O)O	R00268	C(=O)=O.C(=O)(C(=O)O)CCC(O)=O
O([H])[H].OC(=O)C(=O)CCC(=O)N	R00269	N([H])([H])[H].C(=O)(C(=O)O)CCC(O)=O
O([H])[H].CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O.C(=O)(C(=O)O)CCC(O)=O	R00271	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)O1)OP(=O)(O)O.OC(=O)CC[C@](O)(C(O)=O)CC(=O)O
C(=O)(C(=O)O)CCC(O)=O	R00272	C(=O)=O.C(CC=O)C(=O)O
[H+].[O-][O] |^1:1|	R00275	OO.O=O
O([H])[H].O=O.C1(COP(=O)(O)O)=CN=C(C)C(O)=C1CN	R00277	OO.N([H])([H])[H].C1(COP(=O)(O)O)=CN=C(C)C(O)=C1C=O
O=O.C1(COP(=O)(O)O)=CN=C(C)C(O)=C1CO	R00278	OO.C1(COP(=O)(O)O)=CN=C(C)C(O)=C1C=O
O([H])[H].O=O.[C@H](N)(C(=O)O)CCC(=O)O	R00279	OO.N([H])([H])[H].C(=O)(C(=O)O)CCC(O)=O
O([H])[H].[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O	R00287	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.[C@@H]1(OP(=O)(O)O)[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O
[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.[C@@H]1(OP(=O)(O)O)[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O	R00289	P(=O)(O)(O)OP(=O)(O)O.[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O
[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O	R00291	C1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O
[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)O)O1)O)N1C=CC(=O)NC1=O	R00293	O([H])[H].[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@@H](C(=O)[C@H](O)[C@H]2O)C)O1)O)N1C=CC(=O)NC1=O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,5,7,9,w:4|	R00299	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.P(=O)(O)(O)OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:6,9,11,13,w:8|
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,5,7,9,w:4|	R00300	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)=O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,5,7,9,w:4|	R00301	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@H]1(C(O)CO)OC([C@H](O)[C@H]1O)=O
O=O.[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,5,7,9,w:4|	R00302	OO.[C@H]1(CO)O[C@H](C(=O)[C@@H](O)[C@@H]1O)O
O([H])[H].P(=O)(O)(O)OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:6,9,11,13,w:8|	R00303	P(=O)(O)(O)O.[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,5,7,9,w:4|
O([H])[H].[C@@H]1(OP(=O)(O)O)[C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O	R00304	P(=O)(O)(O)O.[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,5,7,9,w:4|
[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,5,7,9,w:4|	R00307	C1(O)(CO)O[C@@H]([C@@H](O)[C@@H]1O)CO |w:0,a:5,6,8|
C12C(=C(C)C(=CC3=NC(C(C)=C3C=C)=CC3=C(C(C)=C(C=C4N=C(C(=C4C)CCC(=O)O)C=1)N3)C=C)N2)CCC(O)=O |c:14,21,t:4,34|.[Fe+2]	R00310	[H+].C12C(=C(C)C3=CC4=NC(C(C)=C4C=C)=CC4N([Fe]N13)C(C=C1N=C(C(=C1C)CCC(=O)O)C=2)=C(C=4C=C)C)CCC(O)=O |c:14,23,t:4,36|
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.C(=O)(O)C	R00315	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.P(=O)(O)(O)OC(=O)C
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.C(=O)(O)C	R00316	P(=O)(O)(O)OP(=O)(O)O.N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OC(=O)C)O1)O
O([H])[H].P(=O)(O)(O)OC(=O)C	R00317	P(=O)(O)(O)O.C(=O)(O)C
O([H])[H].C(P(=O)(O)O)C(=O)O	R00318	P(=O)(O)(O)O.C(=O)(O)C
O=O.[C@H](O)(C)C(=O)O	R00319	O([H])[H].C(=O)=O.C(=O)(O)C
P(=O)(O)(O)OP(=O)(O)O.C(=O)(O)C	R00320	P(=O)(O)(O)O.P(=O)(O)(O)OC(=O)C
O([H])[H].C(=O)(N)C	R00321	N([H])([H])[H].C(=O)(O)C
O([H])[H].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OC(=O)C)O1)O	R00322	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O.C(=O)(O)C
O([H])[H].C(=O)(C(O)=O)CC(=O)C	R00324	CC(=O)C(=O)O.C(=O)(O)C
OC(=O)C[C@@](O)(C)C(=O)O	R00325	CC(=O)C(=O)O.C(=O)(O)C
O([H])[H].[C@H]1(COC(=O)C)O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)O	R00327	C(=O)(O)C.[C@H]1(CO)OC([C@H](O)[C@@H](O)[C@@H]1O)O |a:0,5,7,9,w:4|
O([H])[H].N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O	R00328	P(=O)(O)(O)O.C12N=C(NC(=O)C=1N=CN2[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)O)O1)O)N
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O	R00330	N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O.N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O
