OP(=O)(O)OP(=O)(O)O.O	R00004	OP(=O)(O)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.CC1=C(C(=CC2=C1C(=C3C(=C2)C(=O)C4=CC(=CC(=C4C3=O)O)OC)O)O)C(=O)O	R06713	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.CC1=C(C(=CC2=C1C(=C3C(=C2)C(=O)C4=CC(=CC(=C4C3=O)O)OC)O)O)C(=O)OC
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.CC(=O)C1=C([C@H]([C@@H]2CC3=CC4=CC(=CC(=C4C(=C3C(=O)[C@@]2(C1=O)O)O)O)O)O)O	R06715	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.CC(=O)C1=C([C@H]([C@@H]2CC3=CC4=CC(=CC(=C4C(=C3C(=O)[C@@]2(C1=O)O)O)O)O)OC)O
CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3C[C@H]([C@@H]([C@@H](C)O3)O)O)O2)O)C(=O)NC1=O.CC(=O)C1=C([C@H]([C@@H]2CC3=CC4=CC(=CC(=C4C(=C3C(=O)[C@@]2(C1=O)O)O)O)O)OC)O	R06716	CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)C(=O)NC1=O.CC(=O)C1=C([C@H]([C@@H]2CC3=CC4=CC(=CC(=C4C(=C3C(=O)[C@@]2(C1=O)O[C@H]5C[C@H]([C@@H]([C@@H](C)O5)O)O)O)O)O)OC)O
CC(=O)C1=C([C@H]([C@@H]2CC3=CC4=CC(=CC(=C4C(=C3C(=O)[C@@]2(C1=O)O[C@H]5C[C@H]([C@@H]([C@@H](C)O5)O)O)O)O)O)OC)O.CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3C[C@H]([C@H]([C@@H](C)O3)O)O)O2)O)C(=O)NC1=O	R06717	CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)C(=O)NC1=O.CC(=O)C1=C([C@H]([C@@H]2CC3=CC4=CC(=CC(=C4C(=C3C(=O)[C@@]2(C1=O)O[C@H]5C[C@H]([C@@H]([C@@H](C)O5)O)O[C@H]6C[C@H]([C@H]([C@@H](C)O6)O)O)O)O)O)OC)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.CC(=O)C1=C([C@H]([C@@H]2CC3=CC4=CC(=CC(=C4C(=C3C(=O)[C@@]2(C1=O)O[C@H]5C[C@H]([C@@H]([C@@H](C)O5)O)O[C@H]6C[C@H]([C@H]([C@@H](C)O6)O)O[C@H]7C[C@@](C)([C@@H]([C@@H](C)O7)O)O)O)O)O)OC)O	R06719	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.CC1=C(C2=C(C3=C(C=C2C=C1O)C[C@H]4[C@@H](C(=C(C(=O)C)C(=O)[C@]4(C3=O)O[C@H]5C[C@H]([C@@H]([C@@H](C)O5)O)O[C@H]6C[C@H]([C@H]([C@@H](C)O6)O)O[C@H]7C[C@@](C)([C@@H]([C@@H](C)O7)O)O)O)OC)O)O
O.CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)C3=CC=CC=C3)C(=O)OC	R06728	C1=CC=C(C=C1)C(=O)O.CN1C2CCC1[C@H]([C@H](C2)O)C(=O)OC
O.CN1C2CCC1[C@H]([C@H](C2)O)C(=O)OC	R06729	CO.CN1C2CCC1[C@H]([C@H](C2)O)C(=O)O
CN1C2CCC1[C@H]([C@H](C2)O)C(=O)O	R06730	CN1C2CCC1[C@@H]([C@H](C2)O)C(=O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.[OH-].CN1C2CCC1[C@@H]([C@H](C2)O)C(=O)O	R06731	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.CN1C2CCC1[C@@H]([C@H](C2)O)C(=O)[O-]
[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.CN1C2CCC1CC(=O)C2	R06734	C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.CN1C2CCC1C[C@@H](C2)O
CC(=O)[O-].CN1C2CCC1C[C@H](C2)O	R06735	[OH-].CC(=O)O[C@H]1CC2CCC(C1)N2C
CC(=O)[O-].CN1C2CCC1C[C@@H](C2)O	R06736	[OH-].CC(=O)O[C@@H]1CC2CCC(C1)N2C
O.O=O.C(CCN)CCN	R06740	OO.N.C(CCN)CC=O
C1=C(C=CC(=C1)O)CC(=O)C(=O)O.C/C(=C\COP(=O)(O)OP(=O)(O)O)/C	R06757	OP(=O)(O)OP(=O)(O)O.C/C(=C\CC1=CC(=CC=C1O)CC(=O)C(=O)O)/C
O=O.C/C(=C\CC1=CC(=CC=C1O)CC(=O)C(=O)O)/C	R06758	C(=O)=O.C/C(=C\CC1=CC(=CC=C1O)C(C(=O)O)O)/C
O=O.C/C(=C\CC1=CC(=CC=C1O)C(C(=O)O)O)/C	R06759	O.C(=O)=O.C/C(=C\CC1=CC(=CC=C1O)C(=O)O)/C
C/C(=C\CC1=CC(=CC=C1O)C(=O)NC2=C(C3=C(C(=C(C=C3)O)C)OC2=O)O)/C.CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@@H]([C@H](C(C)(C)O3)O)O)O)O2)O)C(=O)NC1=O	R06770	CC1=CN([C@H]2C[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)C(=O)NC1=O.C/C(=C\CC1=CC(=CC=C1O)C(=O)NC2=C(C3=C(C(=C(C=C3)O[C@H]4[C@@H]([C@@H]([C@H](C(C)(C)O4)O)O)O)C)OC2=O)O)/C
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C/C(=C\CC1=CC(=CC=C1O)C(=O)NC2=C(C3=C(C(=C(C=C3)O[C@H]4[C@@H]([C@@H]([C@H](C(C)(C)O4)O)O)O)C)OC2=O)O)/C	R06771	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.C/C(=C\CC1=CC(=CC=C1O)C(=O)NC2=C(C3=C(C(=C(C=C3)O[C@H]4[C@@H]([C@@H]([C@H](C(C)(C)O4)OC)O)O)C)OC2=O)O)/C
C(=O)(N)OP(=O)(O)O.C/C(=C\CC1=CC(=CC=C1O)C(=O)NC2=C(C3=C(C(=C(C=C3)O[C@H]4[C@@H]([C@@H]([C@H](C(C)(C)O4)OC)O)O)C)OC2=O)O)/C	R06772	OP(=O)(O)O.C/C(=C\CC1=CC(=CC=C1O)C(=O)NC2=C(C3=C(C(=C(C=C3)O[C@H]4[C@@H]([C@@H]([C@H](C(C)(C)O4)OC)OC(=O)N)O)C)OC2=O)O)/C
[H+].O=O.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=CC=C(C=C1)CCC(=O)O	R06782	C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=C[C@@H]([C@@H](C(=C1)CCC(=O)O)O)O
[H+].O=O.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=CC=C(C=C1)/C=C/C(=O)O	R06783	C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=C[C@@H]([C@@H](C(=C1)/C=C/C(=O)O)O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=C[C@@H]([C@@H](C(=C1)CCC(=O)O)O)O	R06784	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=CC(=C(C(=C1)CCC(=O)O)O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=C[C@@H]([C@@H](C(=C1)/C=C/C(=O)O)O)O	R06785	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=CC(=C(C(=C1)/C=C/C(=O)O)O)O
[H+].O=O.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=CC(=CC(=C1)CCC(=O)O)O	R06786	O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=CC(=C(C(=C1)CCC(=O)O)O)O
[H+].O=O.C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=CC(=CC(=C1)/C=C/C(=O)O)O	R06787	O.C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.C1=CC(=C(C(=C1)/C=C/C(=O)O)O)O
O=O.C1=CC(=C(C(=C1)/C=C/C(=O)O)O)O	R06788	C(=C/C(=O)/C=C/C(=O)O)/C=C(\C(=O)O)/O
O.C(=C/C(=O)/C=C/C(=O)O)/C=C(\C(=O)O)/O	R06789	C(=C\C(=O)O)/C(=O)O.C=C/C=C(\C(=O)O)/O
C1=C(C=CC(=C1)O)C2C(=O)C3=C(C=C(C=C3O)O)OC2O	R06793	O.C1=CC(=CC=C1C2=COC3=C(C(=CC(=C3)O)O)C2=O)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C1=CC(=CC=C1C2=COC3=C(C(=CC(=C3)O)O)C2=O)O	R06794	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.COC1=CC2=C(C(=C1)O)C(=O)C(=CO2)C3=CC=C(C=C3)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O.COC1=CC=C(C=C1)C2=COC3=C(C(=CC(=C3)O)O)C2=O	R06795	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.COC1=CC=C(C=C1)C2=COC3=C(C(=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)O)C2=O
C(C(=O)O)C(=O)[O-].COC1=CC=C(C=C1)C2=COC3=C(C(=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)O)C2=O	R06796	[OH-].COC1=CC=C(C=C1)C2=COC3=C(C(=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](COC(=O)CC(=O)O)O4)O)O)O)O)C2=O
C(C(=O)O)C(=O)[O-].C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)O)O	R06797	[OH-].C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](COC(=O)CC(=O)O)O4)O)O)O)O)O
C(C(=O)O)C(=O)[O-].C1=C(/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](OC3=CC4=C(C=C(C=C4O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O)O)[O+]=C3C6=CC=C(C=C6)O)O2)O)O)O)C=C(C(=C1)O)O	R06799	[OH-].C1=C(/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](OC3=CC4=C(C=C(C=C4O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](COC(=O)CC(=O)O)O5)O)O)O)O)[O+]=C3C6=CC=C(C=C6)O)O2)O)O)O)C=C(C(=C1)O)O
C(C(=O)O)C(=O)[O-].C1=C(/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](OC3=CC4=C(C=C(C=C4O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](COC(=O)CC(=O)O)O5)O)O)O)O)[O+]=C3C6=CC=C(C=C6)O)O2)O)O)O)C=C(C(=C1)O)O	R06800	[OH-].C1=C(/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](OC3=CC4=C(C=C(C=C4O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](COC(=O)CC(=O)O)O5)OC(=O)CC(=O)O)O)O)O)[O+]=C3C6=CC=C(C=C6)O)O2)O)O)O)C=C(C(=C1)O)O
C(C(=O)O)C(=O)[O-].C1=C(C=CC(=C1)O)C2=[O+]C3=C(C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)C(=CC(=C3)O)O	R06801	[OH-].C1=C(C=CC(=C1)O)C2=[O+]C3=C(C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](COC(=O)CC(=O)O)O4)O)O)O)C(=CC(=C3)O)O
C[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H](C(N3C=CC(=O)NC3=O)O2)O)O)O)O)O.C1=C(C=CC(=C1)O)C2=[O+]C3=C(C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)C(=CC(=C3)O)O	R06802	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C[C@H]1[C@@H]([C@H]([C@H]([C@H](OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](OC3=CC4=C(C=C(C=C4O)O)[O+]=C3C5=CC=C(C=C5)O)O2)O)O)O)O1)O)O)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O.C[C@H]1[C@@H]([C@H]([C@H]([C@H](OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](OC3=CC4=C(C=C(C=C4O)O)[O+]=C3C5=CC=C(C=C5)O)O2)O)O)O)O1)O)O)O	R06803	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C[C@H]1[C@@H]([C@H]([C@H]([C@H](OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](OC3=CC4=C(C=C(C=C4O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O)O)[O+]=C3C6=CC=C(C=C6)O)O2)O)O)O)O1)O)O)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O.C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)O	R06804	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O.C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O)O	R06805	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@@H](CO)O6)O)O)O)O
C1=C(C=CC(=C1)O)/C=C/C(=O)[O-].C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@@H](CO)O6)O)O)O)O	R06806	[OH-].C1=C(C=CC(=C1)O)/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O[C@@H]3[C@H]([C@@H]([C@@H](CO)O[C@H]3O[C@@H]4[C@H]([C@@H]([C@@H](CO)O[C@H]4OC5=C(C6=CC=C(C=C6)O)OC7=C(C(=CC(=C7)O)O)C5=O)O)O)O)O)O)O)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O)O	R06807	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.COC1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O
C1=CN(C2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O.C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O)O	R06808	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O[C@H]4[C@@H]([C@H]([C@H]([C@@H](CO)O4)O)O)O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)OP(=O)(O)O)OP(=O)(O)OS(=O)(=O)O.C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)OS(=O)(=O)O)O)OS(=O)(=O)O	R06809	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)OP(=O)(O)O)OP(=O)(O)O.C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O)OS(=O)(=O)O)O2)OS(=O)(=O)O)O)OS(=O)(=O)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O.C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O)O)O	R06810	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)O2)O)O)O
C1=CN(C2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)O2)O)O)C(=O)NC1=O.C[C@H]1[C@@H]([C@H]([C@H]([C@H](OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(C4=CC(=C(C=C4)O)O)OC5=C(C(=CC(=C5)O)O)C3=O)O)O)O)O1)O)O)O	R06811	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C[C@H]1[C@@H]([C@H]([C@H]([C@H](OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(C4=CC(=C(C=C4)O)O)OC5=C(C(=CC(=C5)O)O)C3=O)O[C@H]6[C@@H]([C@H]([C@@H](CO6)O)O)O)O)O)O1)O)O)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O.C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)O)O	R06812	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O)O)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O.C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O)O)O	R06813	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@@H](CO)O6)O)O)O)O)O
C1=CN(C2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)O2)O)O)C(=O)NC1=O.C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)O)O	R06814	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O[C@H]5[C@@H]([C@H]([C@@H](CO5)O)O)O)O)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.C1=C(C(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O)O)O)O	R06815	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.COC1=C(C(=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O)O)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.COC1=C(C(=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O)O)O	R06816	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.COC1=CC(=CC(=C1O)OC)C2=C(C(=O)C3=C(C=C(C=C3O)O)O2)O
C(C(=O)O)C(=O)[O-].C1=C(C=C(C(=C1)O)O)C2=[O+]C3=C(C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)C(=CC(=C3)O)O	R06817	[OH-].C1=C(C=C(C(=C1)O)O)C2=[O+]C3=C(C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](COC(=O)CC(=O)O)O4)O)O)O)C(=CC(=C3)O)O
