bt	direction	reaction	envipath_url
3670	f	2958	R05395
2690.1	f	2958	R05395
3667	f	2958	R05395
3670	f	2959	R05396
2690.1	f	2959	R05396
3667	f	2959	R05396
3670	f	2960	R05397
2690.1	f	2960	R05397
3667	f	2960	R05397
3557	f	2961	R05399
2448	f	2962	R05400
4082	f	2962	R05400
4224.1	f	2967	R05407
4224.1	f	2969	R05409
4081	f	2974	R05414
3854	f	2978	R05418
4062	f	2981	R05421
3805	f	2982	R05422
3640	f	2984	R05424
3805	f	2985	R05425
3640	f	2986	R05426
3673	f	2986	R05426
4081	f	2989	R05434
4081	f	2990	R05439
4215	f	2992	R05441
3745	f	2993	R05444
3707	f	2996	R05448
3707	f	2998	R05450
3745	f	3011	R05488
3805	f	3014	R05495
3674	f	3015	R05497
3674	f	3016	R05498
3674	f	3017	R05499
3674	f	3018	R05500
3674	f	3019	R05501
3674	f	3020	R05502
3674	f	3021	R05503
3674	f	3022	R05504
3545	f	3023	R05506
2218	f	3028	R05511
3580	f	3031	R05521
3580	f	3032	R05522
1129	f	3033	R05526
2854	f	3037	R05548
3930	f	3043	R05558
2451	f	3044	R05559
2451	f	3045	R05560
3564	f	3046	R05563
3929	f	3048	R05569
3930	f	3050	R05572
2451	f	3051	R05573
3929	f	3052	R05574
3673	f	3053	R05575
3673	f	3054	R05576
3673	f	3055	R05581
3673	f	3056	R05582
3639	f	3057	R05585
3545	f	3058	R05586
3456	f	3061	R05590
4292	f	3062	R05591
3859	f	3066	R05595
3858	f	3068	R05597
3859	f	3070	R05599
3859	f	3071	R05600
3859	f	3072	R05601
3859	f	3073	R05602
2218	f	3086	R05618
4141	f	3093	R05627
4170	f	3096	R05632
4149	f	3103	R05642
1196	f	3104	R05643
4141	f	3108	R05647
1196	f	3110	R05649
3980	f	3116	R05655
2173	f	3117	R05658
1196	f	3120	R05663
1196	f	3121	R05664
4165	f	3123	R05666
3673	f	3124	R05668
4141	f	3125	R05669
3673	f	3131	R05678
3673	f	3132	R05679
3673	f	3133	R05680
3673	f	3134	R05681
3673	f	3135	R05682
3673	f	3136	R05683
3673	f	3137	R05684
3568	f	3138	R05685
3568	f	3139	R05686
3673	f	3140	R05687
3673	f	3142	R05689
3673	f	3143	R05690
3673	f	3144	R05691
3673	f	3145	R05692
3673	f	3146	R05693
3568	f	3147	R05696
1196	f	3148	R05697
1196	f	3150	R05699
1196	f	3151	R05700
1196	f	3152	R05701
3595	f	3161	R05719
3595	f	3162	R05720
3745	f	3168	R05729
3745	f	3169	R05730
3859	f	3190	R05772
4141	f	3196	R05779
3456	f	3199	R05783
2173	f	3200	R05784
4141	f	3201	R05789
4141	f	3203	R05791
1129	f	3213	R05812
3673	f	3216	R05823
3568	f	3218	R05827
4013	f	3222	R05835
2173	f	3227	R05842
3938	f	3231	R05861
3938	f	3232	R05862
3938	f	3233	R05863
3858	f	3234	R05864
2218	f	3239	R05880
3673	f	3244	R06117
3568	f	3246	R06126
3673	f	3248	R06166
3673	f	3250	R06180
3805	f	3251	R06265
3673	f	3252	R06266
1129	f	3257	R06272
3924	f	3275	R06352
3924	f	3276	R06353
3568	f	3277	R06355
3568	f	3278	R06356
1196	f	3279	R06357
1196	f	3280	R06366
3859	f	3283	R06369
3673	f	3285	R06376
3673	f	3286	R06377
3673	f	3287	R06378
3673	f	3288	R06379
3673	f	3289	R06382
3673	f	3290	R06383
3673	f	3291	R06384
3673	f	3292	R06385
4150	f	3293	R06386
4150	f	3294	R06387
4150	f	3295	R06388
4150	f	3296	R06389
2218	f	3297	R06390
2218	f	3298	R06391
3488	f	3303	R06398
3673	f	3304	R06399
4150	f	3305	R06400
3673	f	3306	R06405
3488	f	3307	R06406
1196	f	3308	R06407
1196	f	3309	R06408
3859	f	3312	R06411
3859	f	3313	R06412
3673	f	3314	R06413
3545	f	3315	R06414
1129	f	3317	R06417
1129	f	3318	R06419
1129	f	3319	R06420
3673	f	3329	R06438
4141	f	3368	R06520
4141	f	3369	R06521
3501	f	3372	R06530
4215	f	3394	R06572
4215	f	3395	R06573
4215	f	3401	R06579
3673	f	3407	R06594
3501	f	3415	R06614
3673	f	3417	R06621
4150	f	3418	R06622
3673	f	3424	R06633
3804	f	3439	R06688
3673	f	3440	R06689
3924	f	3441	R06690
3804	f	3442	R06691
3673	f	3443	R06692
2218	f	3453	R06728
2218	f	3454	R06729
3938	f	3460	R06740
4312	f	3469	R06784
3670	f	3469	R06784
2690.1	f	3469	R06784
3667	f	3469	R06784
4312	f	3470	R06785
