bt	direction	reaction	envipath_url
2833	f	587	637d3bd3-ae19-455c-801b-577302d35e7f
4180	f	589	63eb4bd6-9c76-4dd1-b0b0-a03e321bac0c
3573	f	590	63fc8a4d-67b4-4e82-839c-57f7d0dfb8b7
2833	f	591	642f2278-46c9-49d9-96d8-1aaeae7ef8e2
3855.4	f	592	643a6e6d-2633-4819-b94a-c10f423a150f
4298.1	f	593	645ee442-80b6-4b75-bcac-ac9f8f9ff208
4298.2	f	593	645ee442-80b6-4b75-bcac-ac9f8f9ff208
4217	f	594	64debda8-7fdd-4824-967a-a389005d6311
1877	f	597	658acc79-96c2-4128-bf41-ad4bbc24e57d
925	f	600	65f5739b-b632-4907-aa03-404ef663ead8
3571	f	603	66849a2a-e6bc-476b-ae90-54f8b3923fb8
3469.4	f	605	66868806-6543-4c26-84e7-40a61b0bb042
2685	f	605	66868806-6543-4c26-84e7-40a61b0bb042
4171	f	611	67e5e0c7-1158-498e-a138-84b9b66841f9
4171	f	615	687f31de-ce52-4151-9033-860b01fc83c7
4224.1	f	620	6933b536-6a88-4b54-84ac-5ba5c0dede8c
2675	f	622	696c0f5a-15b3-4f27-8b2b-629ab4230b3f
3673	f	626	6b7cb993-2a6d-45df-9d84-61129a0d2aa1
2451	f	627	6b93a42a-28d1-4ed4-84b7-5cb9a0a90d4c
4170	f	628	6ba1b1d8-d6cb-41ec-99f6-1904f792512d
2854	f	630	6ba51265-e1bb-49f8-b98c-b302176e7725
1196	f	632	6c2d591d-6915-4d17-910a-08f6df7754d3
2811	f	633	6c6e3d06-7521-4dba-bd8b-85d2a24c223c
4282	f	634	6c806878-dbdd-48ea-893a-277c445287d0
2218	f	637	6cb71a10-00b1-4123-a560-8ea965159ff6
1587	f	637	6cb71a10-00b1-4123-a560-8ea965159ff6
2218	f	638	6d354b8c-6c92-4a1d-85b1-471a744a1eda
3859	f	639	6d472cc0-3180-437e-8a8c-c0783fa8e475
